Population_group,Population_Categorisation,population,TDS_FC_Code,TDS_FC_label,NumRespondents,PercentConsumers,Mean_grams_per_person_per_day,Mean_flag,Mean_SE,Mean_LCL,Mean_UCL,Mean_CV,P50,P50_flag,P50_SE,P50_LCL,P50_UCL,P50_CV,P90,P90_flag,P90_SE,P90_LCL,P90_UCL,P90_CV,P95,P95_flag,P95_SE,P95_LCL,P95_UCL,P95_CV
All people,Standard DRI age groups,1-3 yr,GG17,potatoes_chips,1288,6.1,1.09,E,0.32,0.46,1.72,29.36,0,,45.77,0,89.93,0,0,,3.43,0,6.74,0,,F,,,,144.91
All people,Standard DRI age groups,1-3 yr,GG18,rutabaga,1288,0.9,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,GG19,vegetable juice_canned,1288,1.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,GG20,tomatoes,1288,16.2,8.9,E,1.75,5.47,12.33,19.66,0,,16.77,0,32.94,0,,F,,,,41.06,70.6,E,16.03,39.1,102.11,22.71
All people,Standard DRI age groups,1-3 yr,GG21,tomatoes and tomato sauce_canned,1288,16.5,11.44,,1.46,8.58,14.3,12.76,0,,21.44,0,42.12,0,49.06,,7.94,33.47,64.65,16.18,93.59,,9.7,74.53,112.64,10.36
All people,Standard DRI age groups,1-3 yr,GG22,spinach,1288,3.5,0.98,E,0.31,0.38,1.58,31.63,0,,435.61,0,855.84,0,0,,23.91,0,46.98,0,0,,4.86,0,9.55,0
All people,Standard DRI age groups,1-3 yr,GG23,asparagus,1288,0.6,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,GG24,brussel sprouts,1288,0.3,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,GG26,potatoes_baked,1288,3.2,,F,,,,41.42,0,,1494.23,0,2935.74,0,0,,143.79,0,282.51,0,0,,17.39,0,34.16,0
All people,Standard DRI age groups,1-3 yr,GG27,corn chips,1288,4.7,0.77,E,0.17,0.43,1.11,22.08,0,,165.94,0,326.03,0,0,,7.19,0,14.12,0,0,,3.01,0,5.92,0
All people,Standard DRI age groups,1-3 yr,HH01,apple juice_canned,1288,18.6,44.32,,4.85,34.79,53.86,10.94,0,,82.56,0,162.2,0,209.54,,14.32,181.41,237.67,6.83,247.98,,26.62,195.68,300.28,10.73
All people,Standard DRI age groups,1-3 yr,HH02,applesauce_canned,1288,14.9,18.91,E,3.69,11.66,26.15,19.51,0,,47.18,0,92.7,0,88.41,E,18.17,52.71,124.11,20.55,121.99,E,21.09,80.56,163.42,17.29
All people,Standard DRI age groups,1-3 yr,HH03,apples,1288,30.5,37.64,,4.35,29.09,46.19,11.56,0,,18.57,0,36.48,0,148.76,,10.49,128.14,169.38,7.05,175.3,,9.22,157.18,193.43,5.26
All people,Standard DRI age groups,1-3 yr,HH04,bananas,1288,37,31.28,,2.34,26.69,35.88,7.48,0,,11.54,0,22.67,0,115.11,,6.72,101.9,128.32,5.84,117.19,,9.29,98.93,135.45,7.93
All people,Standard DRI age groups,1-3 yr,HH05,blueberries,1288,11.3,6.54,E,1.3,3.98,9.1,19.88,0,,42.23,0,82.97,0,,F,,,,94.99,49.01,E,11.18,27.05,70.98,22.81
All people,Standard DRI age groups,1-3 yr,HH06,cherries,1288,1.7,,F,,,,,,F,,,,,,F,,,,,,F,,,,
